-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-3,-1,-1,-2,-1,-1,-1,
-3,-3,-2,-2,-2,-2,-1,-1,-1,
-2,-2,-2,-2,-2,-2,-1,-1,-1,
-2,-2,-2,-2,-1,-1,-1,-1,-2,
-2,-2,-2,-1,-2,-2,-2,-3,-3,
-2,-2,-3,-2,-3,-3,-3,-3,-4,
-3,-4,-4,-3,-3,-4,-4,-4,-3,
-4,-2,-2,-4,-2,-2,-3,-3,-2,
-2,-3,-3,-2,-2,-2,-2,-2,-2,
-3,-3,-4,-2,-2,-2,-2,-2,-2,
-4,-2,-2,-2,-2,-2,-2,-3,-3,
-2,-2,-2,-2,-2,-2,-3,-2,-2,
-2,-2,-2,-2,-2,-2,-2,-2,-3,
-2,-3,-3,-2,-2,-2,-3,-3,-3,
-3,-3,-2,-2,-2,-1,-3,-3,-4,
-2,-2,-3,-1,-2,-3,-4,-6,-8,
-3,-3,-6,-3,-5,-8,-8,-8,-8,
-6,-3,-4,-8,-3,-5,-8,-20,-28,
-4,-7,-6,-5,-6,-5,-28,-31,-49,
-6,-5,-7,-5,-2,-3,-49,-57,-50,
-7,-11,-9,-3,-3,-3,-50,-33,-25,
-9,-5,-5,-3,-5,-6,-25,-31,-11,
-5,-8,-8,-6,-4,-6,-11,-5,-8,
-8,-6,-5,-6,-4,-3,-8,-4,-2,
-5,-2,-3,-3,-2,-2,-2,-1,-2,
-3,-3,-4,-2,-2,-2,-2,-2,-1,
-4,-1,-1,-2,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-2,-1,-1,-2,-1,-1,-2,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,
